Hour,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(°C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Holiday,Functioning Day,Month,DayOfWeek,Is_Weekend,Hour_sin,Hour_cos,Month_sin,Month_cos,Season_Autumn,Season_Spring,Season_Summer,Season_Winter,Rented Bike Count
20,14.5,51,1.4,751,4.4,0.0,0.0,0.0,1,1,10,0,0,-0.8660254037844386,0.5000000000000001,-0.8660254037844386,0.5000000000000001,True,False,False,False,1593
0,19.3,76,1.2,1968,14.9,0.0,0.0,0.0,1,1,6,2,0,0.0,1.0,1.2246467991473532e-16,-1.0,False,False,True,False,1274
0,15.8,41,1.2,2000,2.5,0.0,0.0,0.0,1,1,5,6,1,0.0,1.0,0.49999999999999994,-0.8660254037844387,False,True,False,False,986
14,-5.0,31,4.0,2000,-19.5,2.18,0.0,0.0,1,1,2,5,1,-0.4999999999999997,-0.8660254037844388,0.8660254037844386,0.5000000000000001,False,False,False,True,196
14,16.0,52,1.7,2000,6.1,1.22,0.0,0.0,1,1,4,1,0,-0.4999999999999997,-0.8660254037844388,0.8660254037844387,-0.4999999999999998,False,True,False,False,942
3,17.8,60,0.2,2000,9.9,0.0,0.0,0.0,1,1,9,5,1,0.7071067811865476,0.7071067811865476,-1.0,-1.8369701987210297e-16,True,False,False,False,504
10,4.4,23,1.6,1201,-14.9,0.7,0.0,0.0,1,1,11,2,0,0.49999999999999994,-0.8660254037844387,-0.5000000000000004,0.8660254037844384,True,False,False,False,583
1,5.1,83,1.1,1989,2.4,0.0,0.0,0.0,1,1,10,0,0,0.25881904510252074,0.9659258262890683,-0.8660254037844386,0.5000000000000001,True,False,False,False,326
11,-5.0,25,3.2,1853,-22.0,1.75,0.0,0.0,1,1,2,6,1,0.258819045102521,-0.9659258262890682,0.8660254037844386,0.5000000000000001,False,False,False,True,155
15,24.0,94,3.1,1188,22.9,0.41,0.5,0.0,1,1,8,4,0,-0.7071067811865471,-0.7071067811865479,-0.8660254037844385,-0.5000000000000004,False,False,True,False,405
13,14.0,46,5.3,927,2.5,1.68,0.0,0.0,1,0,11,4,0,-0.2588190451025208,-0.9659258262890683,-0.5000000000000004,0.8660254037844384,True,False,False,False,0
18,-4.0,27,2.5,2000,-20.2,0.16,0.0,0.0,1,1,2,2,0,-1.0,-1.8369701987210297e-16,0.8660254037844386,0.5000000000000001,False,False,False,True,448
1,4.3,87,0.5,221,2.3,0.0,0.0,0.0,1,1,12,0,0,0.25881904510252074,0.9659258262890683,-2.4492935982947064e-16,1.0,False,False,False,True,186
11,22.7,93,4.8,832,21.5,0.17,0.0,0.0,1,1,5,2,0,0.258819045102521,-0.9659258262890682,0.49999999999999994,-0.8660254037844387,False,True,False,False,243
21,26.8,72,0.4,1985,21.3,0.0,0.0,0.0,1,1,8,1,0,-0.7071067811865477,0.7071067811865474,-0.8660254037844385,-0.5000000000000004,False,False,True,False,2057
16,12.8,53,3.3,2000,3.4,0.76,0.0,0.0,1,1,5,3,0,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,-0.8660254037844387,False,True,False,False,911
14,5.6,38,1.6,1087,-7.6,1.1,0.0,0.0,1,1,2,0,0,-0.4999999999999997,-0.8660254037844388,0.8660254037844386,0.5000000000000001,False,False,False,True,373
8,22.2,95,1.6,389,21.3,0.26,0.0,0.0,1,1,6,4,0,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,False,False,True,False,2028
13,25.7,40,2.2,1997,11.0,2.98,0.0,0.0,1,1,9,1,0,-0.2588190451025208,-0.9659258262890683,-1.0,-1.8369701987210297e-16,True,False,False,False,1102
16,18.5,22,2.7,1515,-3.6,2.27,0.0,0.0,1,1,4,2,0,-0.8660254037844385,-0.5000000000000004,0.8660254037844387,-0.4999999999999998,False,True,False,False,1346
23,27.2,55,0.7,920,17.3,0.0,0.0,0.0,1,1,6,0,0,-0.25881904510252157,0.9659258262890681,1.2246467991473532e-16,-1.0,False,False,True,False,1437
0,12.7,89,1.2,340,10.9,0.0,0.0,0.0,1,1,5,0,0,0.0,1.0,0.49999999999999994,-0.8660254037844387,False,True,False,False,581
7,20.5,82,0.8,338,17.3,0.16,0.0,0.0,1,1,6,6,1,0.9659258262890683,-0.25881904510252063,1.2246467991473532e-16,-1.0,False,False,True,False,369
11,15.5,25,2.5,1727,-4.4,2.1,0.0,0.0,1,1,10,2,0,0.258819045102521,-0.9659258262890682,-0.8660254037844386,0.5000000000000001,True,False,False,False,961
22,4.0,57,0.3,430,-3.7,0.0,0.0,0.0,1,1,1,1,0,-0.5000000000000004,0.8660254037844384,0.49999999999999994,0.8660254037844387,False,False,False,True,321
6,0.8,88,1.0,900,-0.9,0.0,0.0,0.0,1,1,3,3,0,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,False,True,False,False,212
10,13.0,49,0.5,1685,2.5,1.61,0.0,0.0,1,1,10,5,1,0.49999999999999994,-0.8660254037844387,-0.8660254037844386,0.5000000000000001,True,False,False,False,997
3,-0.9,65,0.2,1359,-6.6,0.0,0.0,0.0,1,1,1,5,1,0.7071067811865476,0.7071067811865476,0.49999999999999994,0.8660254037844387,False,False,False,True,118
10,33.5,49,1.0,1937,21.3,2.09,0.0,0.0,0,1,8,2,0,0.49999999999999994,-0.8660254037844387,-0.8660254037844385,-0.5000000000000004,False,False,True,False,547
2,14.5,97,2.9,359,14.0,0.0,0.1,0.0,1,1,5,6,1,0.49999999999999994,0.8660254037844387,0.49999999999999994,-0.8660254037844387,False,True,False,False,189
20,9.5,44,1.8,1991,-2.1,0.0,0.0,0.0,1,1,11,1,0,-0.8660254037844386,0.5000000000000001,-0.5000000000000004,0.8660254037844384,True,False,False,False,1208
9,3.0,30,1.3,1242,-12.9,0.3,0.0,0.0,1,1,11,2,0,0.7071067811865476,-0.7071067811865475,-0.5000000000000004,0.8660254037844384,True,False,False,False,798
7,26.0,78,0.7,1988,21.8,0.16,0.0,0.0,1,1,8,4,0,0.9659258262890683,-0.25881904510252063,-0.8660254037844385,-0.5000000000000004,False,False,True,False,1027
23,-4.0,52,3.4,1272,-12.4,0.0,0.0,0.0,0,1,3,3,0,-0.25881904510252157,0.9659258262890681,1.0,6.123233995736766e-17,False,True,False,False,190
22,-9.0,45,1.3,1999,-18.7,0.0,0.0,0.0,1,1,12,1,0,-0.5000000000000004,0.8660254037844384,-2.4492935982947064e-16,1.0,False,False,False,True,256
7,-4.4,81,2.5,1276,-7.1,0.0,0.0,0.0,1,1,12,5,1,0.9659258262890683,-0.25881904510252063,-2.4492935982947064e-16,1.0,False,False,False,True,146
13,29.4,42,1.7,689,15.1,3.1,0.0,0.0,1,1,6,0,0,-0.2588190451025208,-0.9659258262890683,1.2246467991473532e-16,-1.0,False,False,True,False,938
2,19.7,66,0.5,1591,13.1,0.0,0.0,0.0,1,1,6,1,0,0.49999999999999994,0.8660254037844387,1.2246467991473532e-16,-1.0,False,False,True,False,448
6,-4.1,50,3.0,2000,-13.0,0.0,0.0,0.0,0,1,12,0,0,1.0,6.123233995736766e-17,-2.4492935982947064e-16,1.0,False,False,False,True,59
10,22.7,45,1.5,2000,10.1,2.08,0.0,0.0,1,1,9,2,0,0.49999999999999994,-0.8660254037844387,-1.0,-1.8369701987210297e-16,True,False,False,False,923
7,22.1,89,0.5,1617,20.1,0.08,0.5,0.0,1,1,7,6,1,0.9659258262890683,-0.25881904510252063,-0.4999999999999997,-0.8660254037844388,False,False,True,False,25
0,-3.5,49,2.6,1893,-12.6,0.0,0.0,0.0,1,1,12,4,0,0.0,1.0,-2.4492935982947064e-16,1.0,False,False,False,True,233
18,17.7,75,2.1,519,13.2,0.12,0.0,0.0,1,1,4,6,1,-1.0,-1.8369701987210297e-16,0.8660254037844387,-0.4999999999999998,False,True,False,False,1296
2,8.7,44,1.6,1684,-2.8,0.0,0.0,0.0,1,1,4,2,0,0.49999999999999994,0.8660254037844387,0.8660254037844387,-0.4999999999999998,False,True,False,False,260
11,11.4,46,0.8,876,0.1,1.57,0.0,0.0,1,1,11,1,0,0.258819045102521,-0.9659258262890682,-0.5000000000000004,0.8660254037844384,True,False,False,False,789
21,27.3,78,1.2,1606,23.1,0.0,0.0,0.0,1,1,7,2,0,-0.7071067811865477,0.7071067811865474,-0.4999999999999997,-0.8660254037844388,False,False,True,False,1936
18,36.3,35,3.0,1860,18.3,0.89,0.0,0.0,1,1,7,6,1,-1.0,-1.8369701987210297e-16,-0.4999999999999997,-0.8660254037844388,False,False,True,False,1212
3,9.2,68,0.4,1538,3.5,0.0,0.0,0.0,1,1,10,6,1,0.7071067811865476,0.7071067811865476,-0.8660254037844386,0.5000000000000001,True,False,False,False,342
11,26.8,38,2.6,1879,11.2,2.99,0.0,0.0,1,1,6,4,0,0.258819045102521,-0.9659258262890682,1.2246467991473532e-16,-1.0,False,False,True,False,1036
0,7.2,95,0.9,861,6.4,0.0,0.5,0.0,1,1,4,4,0,0.0,1.0,0.8660254037844387,-0.4999999999999998,False,True,False,False,56
20,24.1,94,4.5,214,23.0,0.0,0.5,0.0,1,1,6,1,0,-0.8660254037844386,0.5000000000000001,1.2246467991473532e-16,-1.0,False,False,True,False,199
3,18.6,72,1.4,1340,13.4,0.0,0.0,0.0,1,1,6,4,0,0.7071067811865476,0.7071067811865476,1.2246467991473532e-16,-1.0,False,False,True,False,366
13,-2.2,31,2.3,1910,-17.0,1.13,0.0,0.0,1,1,1,2,0,-0.2588190451025208,-0.9659258262890683,0.49999999999999994,0.8660254037844387,False,False,False,True,279
5,1.6,62,4.9,1372,-4.9,0.0,0.0,0.0,1,1,4,5,1,0.9659258262890683,0.25881904510252074,0.8660254037844387,-0.4999999999999998,False,True,False,False,57
15,19.0,38,1.9,2000,4.3,1.72,0.0,0.0,1,1,10,3,0,-0.7071067811865471,-0.7071067811865479,-0.8660254037844386,0.5000000000000001,True,False,False,False,1203
7,27.0,86,0.9,718,24.4,0.22,0.0,0.0,1,1,8,0,0,0.9659258262890683,-0.25881904510252063,-0.8660254037844385,-0.5000000000000004,False,False,True,False,1065
1,7.6,62,1.2,1885,0.7,0.0,0.0,0.0,1,1,4,0,0,0.25881904510252074,0.9659258262890683,0.8660254037844387,-0.4999999999999998,False,True,False,False,226
1,3.2,72,1.9,306,-1.3,0.0,0.0,0.0,1,1,1,3,0,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387,False,False,False,True,190
21,22.6,62,1.1,1363,14.9,0.0,0.0,0.0,1,1,6,0,0,-0.7071067811865477,0.7071067811865474,1.2246467991473532e-16,-1.0,False,False,True,False,2377
8,10.3,77,0.7,341,6.4,0.37,0.0,0.0,1,1,3,2,0,0.8660254037844387,-0.4999999999999998,1.0,6.123233995736766e-17,False,True,False,False,1353
18,2.5,24,2.0,2000,-16.0,0.02,0.0,0.0,1,1,1,6,1,-1.0,-1.8369701987210297e-16,0.49999999999999994,0.8660254037844387,False,False,False,True,295
4,20.6,97,0.5,1989,20.1,0.0,0.0,0.0,1,1,7,1,0,0.8660254037844386,0.5000000000000001,-0.4999999999999997,-0.8660254037844388,False,False,True,False,133
5,17.6,0,0.8,1304,9.7,0.0,0.0,0.0,1,1,5,6,1,0.9659258262890683,0.25881904510252074,0.49999999999999994,-0.8660254037844387,False,True,False,False,174
20,-6.1,32,4.7,2000,-20.1,0.0,0.0,0.0,1,1,12,1,0,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,False,False,False,True,252
19,6.0,76,1.1,219,2.0,0.0,0.0,0.0,1,1,12,5,1,-0.9659258262890684,0.2588190451025203,-2.4492935982947064e-16,1.0,False,False,False,True,260
0,9.6,44,2.2,1417,-2.0,0.0,0.0,0.0,1,1,4,2,0,0.0,1.0,0.8660254037844387,-0.4999999999999998,False,True,False,False,515
1,26.6,80,0.0,1485,22.8,0.0,0.0,0.0,1,1,7,3,0,0.25881904510252074,0.9659258262890683,-0.4999999999999997,-0.8660254037844388,False,False,True,False,787
8,10.4,63,0.6,1367,3.6,0.19,0.0,0.0,1,1,10,1,0,0.8660254037844387,-0.4999999999999998,-0.8660254037844386,0.5000000000000001,True,False,False,False,2134
2,-2.9,86,1.5,1256,-4.9,0.0,0.0,0.0,1,1,12,5,1,0.49999999999999994,0.8660254037844387,-2.4492935982947064e-16,1.0,False,False,False,True,262
1,24.1,67,0.5,686,17.5,0.0,0.0,0.0,1,1,5,2,0,0.25881904510252074,0.9659258262890683,0.49999999999999994,-0.8660254037844387,False,True,False,False,502
17,24.0,53,3.5,536,13.8,1.39,0.0,0.0,1,1,4,0,0,-0.9659258262890683,-0.25881904510252063,0.8660254037844387,-0.4999999999999998,False,True,False,False,1706
0,15.3,29,1.3,2000,-2.6,0.0,0.0,0.0,1,1,5,0,0,0.0,1.0,0.49999999999999994,-0.8660254037844387,False,True,False,False,666
2,10.8,72,0.4,639,5.9,0.0,0.0,0.0,1,1,3,4,0,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,False,True,False,False,261
17,25.1,70,2.2,796,19.2,0.48,0.0,0.0,1,1,6,2,0,-0.9659258262890683,-0.25881904510252063,1.2246467991473532e-16,-1.0,False,False,True,False,2115
6,-15.7,29,2.5,2000,-29.7,0.0,0.0,0.9,1,1,1,2,0,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,False,False,False,True,71
2,2.8,87,1.1,321,0.8,0.0,0.0,0.3,1,1,11,0,0,0.49999999999999994,0.8660254037844387,-0.5000000000000004,0.8660254037844384,True,False,False,False,175
17,11.8,82,1.7,990,8.8,0.4,0.0,0.0,1,1,3,6,1,-0.9659258262890683,-0.25881904510252063,1.0,6.123233995736766e-17,False,True,False,False,492
6,6.6,80,1.0,1424,3.3,0.0,0.0,0.0,1,1,10,5,1,1.0,6.123233995736766e-17,-0.8660254037844386,0.5000000000000001,True,False,False,False,209
11,7.1,50,1.7,799,-2.6,2.24,0.0,0.0,1,1,3,4,0,0.258819045102521,-0.9659258262890682,1.0,6.123233995736766e-17,False,True,False,False,584
4,27.3,85,1.6,671,24.5,0.0,0.0,0.0,1,1,7,4,0,0.8660254037844386,0.5000000000000001,-0.4999999999999997,-0.8660254037844388,False,False,True,False,218
1,7.8,59,0.6,768,0.2,0.0,0.0,0.0,1,1,11,4,0,0.25881904510252074,0.9659258262890683,-0.5000000000000004,0.8660254037844384,True,False,False,False,520
20,0.2,72,0.7,990,-4.2,0.0,0.0,0.8,1,1,12,3,0,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,False,False,False,True,288
13,17.6,49,4.7,2000,6.7,1.89,0.0,0.0,1,1,10,0,0,-0.2588190451025208,-0.9659258262890683,-0.8660254037844386,0.5000000000000001,True,False,False,False,1087
5,-3.9,66,0.7,1209,-9.3,0.0,0.0,2.6,1,1,12,1,0,0.9659258262890683,0.25881904510252074,-2.4492935982947064e-16,1.0,False,False,False,True,55
11,23.4,73,1.3,827,18.2,2.38,0.0,0.0,1,1,6,2,0,0.258819045102521,-0.9659258262890682,1.2246467991473532e-16,-1.0,False,False,True,False,1015
18,22.6,39,2.8,1655,7.9,1.1,0.0,0.0,1,1,5,3,0,-1.0,-1.8369701987210297e-16,0.49999999999999994,-0.8660254037844387,False,True,False,False,2825
18,16.6,41,2.4,1811,3.2,0.04,0.0,0.0,1,1,10,5,1,-1.0,-1.8369701987210297e-16,-0.8660254037844386,0.5000000000000001,True,False,False,False,1707
9,22.7,72,1.2,2000,17.3,0.59,0.0,0.0,1,1,9,5,1,0.7071067811865476,-0.7071067811865475,-1.0,-1.8369701987210297e-16,True,False,False,False,934
11,7.5,36,1.4,1993,-6.6,1.98,0.0,0.0,1,1,10,1,0,0.258819045102521,-0.9659258262890682,-0.8660254037844386,0.5000000000000001,True,False,False,False,782
17,32.8,61,4.0,1878,24.2,1.46,0.0,0.0,1,1,8,6,1,-0.9659258262890683,-0.25881904510252063,-0.8660254037844385,-0.5000000000000004,False,False,True,False,978
0,17.0,59,1.1,1299,8.9,0.0,0.0,0.0,1,1,5,5,1,0.0,1.0,0.49999999999999994,-0.8660254037844387,False,True,False,False,987
2,18.8,88,0.3,500,16.7,0.0,0.0,0.0,1,1,6,3,0,0.49999999999999994,0.8660254037844387,1.2246467991473532e-16,-1.0,False,False,True,False,418
6,9.9,66,1.5,931,3.8,0.0,0.0,0.0,1,1,4,4,0,1.0,6.123233995736766e-17,0.8660254037844387,-0.4999999999999998,False,True,False,False,427
1,14.7,43,1.2,2000,2.2,0.0,0.0,0.0,1,1,5,6,1,0.25881904510252074,0.9659258262890683,0.49999999999999994,-0.8660254037844387,False,True,False,False,713
1,16.9,61,1.0,844,9.3,0.0,0.0,0.0,1,1,5,4,0,0.25881904510252074,0.9659258262890683,0.49999999999999994,-0.8660254037844387,False,True,False,False,610
13,24.9,78,1.5,1910,20.7,0.72,0.0,0.0,1,1,9,0,0,-0.2588190451025208,-0.9659258262890683,-1.0,-1.8369701987210297e-16,True,False,False,False,731
9,16.0,60,1.9,1992,8.2,1.98,0.0,0.0,1,1,5,2,0,0.7071067811865476,-0.7071067811865475,0.49999999999999994,-0.8660254037844387,False,True,False,False,1125
18,9.7,36,3.6,948,-4.6,0.37,0.0,0.0,1,1,3,4,0,-1.0,-1.8369701987210297e-16,1.0,6.123233995736766e-17,False,True,False,False,1611
19,24.4,44,2.8,1979,11.3,0.45,0.0,0.0,1,1,5,0,0,-0.9659258262890684,0.2588190451025203,0.49999999999999994,-0.8660254037844387,False,True,False,False,2656
7,-6.5,68,0.6,571,-11.4,0.0,0.0,0.0,1,1,1,5,1,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,False,False,False,True,43
16,18.3,16,1.0,2000,-7.9,0.7,0.0,0.0,1,1,4,4,0,-0.8660254037844385,-0.5000000000000004,0.8660254037844387,-0.4999999999999998,False,True,False,False,1270
21,13.9,37,1.1,1751,-0.5,0.0,0.0,0.0,1,1,4,5,1,-0.7071067811865477,0.7071067811865474,0.8660254037844387,-0.4999999999999998,False,True,False,False,1351
11,26.2,76,2.6,1995,21.6,0.88,0.0,0.0,1,1,8,4,0,0.258819045102521,-0.9659258262890682,-0.8660254037844385,-0.5000000000000004,False,False,True,False,415
23,23.4,79,2.7,1990,19.5,0.0,0.0,0.0,1,1,8,4,0,-0.25881904510252157,0.9659258262890681,-0.8660254037844385,-0.5000000000000004,False,False,True,False,1084
0,20.5,71,2.8,1204,15.0,0.0,0.0,0.0,1,1,6,1,0,0.0,1.0,1.2246467991473532e-16,-1.0,False,False,True,False,927
6,26.8,70,0.7,2000,20.8,0.0,0.0,0.0,1,1,8,1,0,1.0,6.123233995736766e-17,-0.8660254037844385,-0.5000000000000004,False,False,True,False,634
22,-0.6,70,3.4,1204,-5.4,0.0,0.0,0.0,0,1,2,4,0,-0.5000000000000004,0.8660254037844384,0.8660254037844386,0.5000000000000001,False,False,False,True,116
11,-3.9,25,0.0,1959,-21.0,0.0,0.0,0.0,1,1,12,1,0,0.258819045102521,-0.9659258262890682,-2.4492935982947064e-16,1.0,False,False,False,True,334
2,5.2,54,1.3,516,-3.3,0.0,0.0,0.0,1,1,2,2,0,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,False,False,False,True,174
20,26.2,70,1.5,792,20.2,0.12,0.0,0.0,1,1,6,4,0,-0.8660254037844386,0.5000000000000001,1.2246467991473532e-16,-1.0,False,False,True,False,2339
22,-7.9,40,2.5,1997,-19.1,0.0,0.0,0.0,1,1,1,6,1,-0.5000000000000004,0.8660254037844384,0.49999999999999994,0.8660254037844387,False,False,False,True,105
6,5.1,81,1.3,375,2.1,0.0,0.0,0.0,1,1,12,5,1,1.0,6.123233995736766e-17,-2.4492935982947064e-16,1.0,False,False,False,True,63
5,10.2,70,1.5,1519,4.9,0.0,0.0,0.0,1,1,10,1,0,0.9659258262890683,0.25881904510252074,-0.8660254037844386,0.5000000000000001,True,False,False,False,202
8,7.7,62,2.4,1985,0.8,0.23,0.0,0.0,1,1,10,5,1,0.8660254037844387,-0.4999999999999998,-0.8660254037844386,0.5000000000000001,True,False,False,False,713
10,27.6,71,1.6,1870,21.8,2.14,0.0,0.0,1,1,7,1,0,0.49999999999999994,-0.8660254037844387,-0.4999999999999997,-0.8660254037844388,False,False,True,False,818
23,31.2,52,1.5,1670,20.1,0.0,0.0,0.0,1,1,7,6,1,-0.25881904510252157,0.9659258262890681,-0.4999999999999997,-0.8660254037844388,False,False,True,False,1030
9,-4.6,40,3.5,2000,-16.1,0.18,0.0,0.0,0,1,12,0,0,0.7071067811865476,-0.7071067811865475,-2.4492935982947064e-16,1.0,False,False,False,True,107
15,15.3,32,2.9,458,-1.3,2.02,0.0,0.0,1,1,3,0,0,-0.7071067811865471,-0.7071067811865479,1.0,6.123233995736766e-17,False,True,False,False,694
19,9.3,52,2.7,482,0.0,0.0,0.0,0.0,1,1,11,1,0,-0.9659258262890684,0.2588190451025203,-0.5000000000000004,0.8660254037844384,True,False,False,False,1023
21,25.3,55,1.4,2000,15.6,0.0,0.0,0.0,1,1,7,6,1,-0.7071067811865477,0.7071067811865474,-0.4999999999999997,-0.8660254037844388,False,False,True,False,2055
23,-0.6,39,1.3,1731,-12.8,0.0,0.0,0.0,1,1,2,5,1,-0.25881904510252157,0.9659258262890681,0.8660254037844386,0.5000000000000001,False,False,False,True,187
11,10.2,65,3.3,2000,3.9,0.57,0.0,0.0,1,1,3,0,0,0.258819045102521,-0.9659258262890682,1.0,6.123233995736766e-17,False,True,False,False,393
23,2.0,70,0.7,689,-2.9,0.0,0.0,0.0,1,1,2,4,0,-0.25881904510252157,0.9659258262890681,0.8660254037844386,0.5000000000000001,False,False,False,True,193
5,27.8,82,1.0,1599,24.4,0.0,0.0,0.0,1,1,8,3,0,0.9659258262890683,0.25881904510252074,-0.8660254037844385,-0.5000000000000004,False,False,True,False,292
19,32.7,56,2.2,2000,22.7,0.33,0.0,0.0,1,1,8,1,0,-0.9659258262890684,0.2588190451025203,-0.8660254037844385,-0.5000000000000004,False,False,True,False,1972
11,-0.7,62,0.7,519,-7.0,0.77,0.0,2.0,1,1,12,3,0,0.258819045102521,-0.9659258262890682,-2.4492935982947064e-16,1.0,False,False,False,True,243
20,27.1,67,2.9,1949,20.4,0.06,0.0,0.0,1,1,7,2,0,-0.8660254037844386,0.5000000000000001,-0.4999999999999997,-0.8660254037844388,False,False,True,False,2415
14,33.6,50,3.5,1993,21.7,1.15,0.0,0.0,1,1,8,2,0,-0.4999999999999997,-0.8660254037844388,-0.8660254037844385,-0.5000000000000004,False,False,True,False,670
2,0.2,52,0.7,1726,-8.5,0.0,0.0,0.0,1,1,12,6,1,0.49999999999999994,0.8660254037844387,-2.4492935982947064e-16,1.0,False,False,False,True,243
15,23.2,83,1.5,349,20.1,0.77,0.5,0.0,1,1,9,6,1,-0.7071067811865471,-0.7071067811865479,-1.0,-1.8369701987210297e-16,True,False,False,False,222
3,21.9,88,0.9,274,19.8,0.0,0.0,0.0,1,1,6,5,1,0.7071067811865476,0.7071067811865476,1.2246467991473532e-16,-1.0,False,False,True,False,625
11,15.8,40,1.9,647,2.2,1.95,0.0,0.0,1,1,3,1,0,0.258819045102521,-0.9659258262890682,1.0,6.123233995736766e-17,False,True,False,False,560
0,20.1,58,0.3,2000,11.5,0.0,0.0,0.0,1,1,9,3,0,0.0,1.0,-1.0,-1.8369701987210297e-16,True,False,False,False,886
14,36.2,36,1.5,1985,18.7,2.87,0.0,0.0,1,1,8,2,0,-0.4999999999999997,-0.8660254037844388,-0.8660254037844385,-0.5000000000000004,False,False,True,False,760
12,-0.3,45,2.2,1066,-10.8,1.01,0.0,0.0,1,1,1,4,0,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387,False,False,False,True,362
19,8.4,51,3.3,1977,-1.1,0.01,0.0,0.0,1,1,3,0,0,-0.9659258262890684,0.2588190451025203,1.0,6.123233995736766e-17,False,True,False,False,818
0,20.7,67,1.9,885,14.3,0.0,0.0,0.0,1,1,6,4,0,0.0,1.0,1.2246467991473532e-16,-1.0,False,False,True,False,1137
